,jobb,yrke,company,tid,link
0,Vi söker intern IT-tekniker (1 jobb),IT-tekniker/Datatekniker,Flex Applications Sverige AB - Örebro,"Publicerad 27 juni, kl. 14.07",{'https://arbetsformedlingen.se/platsbanken/annonser/26262127'}
1,Är du vår nästa IT-tekniker? (1 jobb),IT-tekniker/Datatekniker,Flex Applications Sverige AB - Örebro,"Publicerad 27 juni, kl. 12.54",{'https://arbetsformedlingen.se/platsbanken/annonser/26261302'}
2,Tranpenad söker Örebros bästa skjutstativtruckförare! (1 jobb),Lagerarbetare,Tranpenad - Örebro,"Publicerad 27 juni, kl. 10.35",{'https://arbetsformedlingen.se/platsbanken/annonser/26260097'}
3,Personlig assistent till en liten flicka i Örebro (1 jobb),Personlig assistent,Livsam Personlig Assistans AB - Örebro,"Publicerad 27 juni, kl. 09.52",{'https://arbetsformedlingen.se/platsbanken/annonser/26259527'}
4,Trygga personliga assistenter med bra fysik sökes till vår kund Västerås (3 jobb),Personlig assistent,Livsam Personlig Assistans AB - Örebro,"Publicerad 27 juni, kl. 09.46",{'https://arbetsformedlingen.se/platsbanken/annonser/26259328'}
5,Personlig assistent till Personlig assistans (10 jobb),Personlig assistent,Örebro Kommun - Örebro,"Publicerad 23 juni, kl. 16.05",{'https://arbetsformedlingen.se/platsbanken/annonser/26256276'}
6,Personlig assistent sökes till en glad liten pojke (2 jobb),Personlig assistent,Vivant Assistans AB - Örebro,"Publicerad 23 juni, kl. 14.10",{'https://arbetsformedlingen.se/platsbanken/annonser/26220626'}
7,Lagermedarbetare till WER-Agenturer i Örebro (1 jobb),Lagerarbetare,Uniflex Sverige AB - Örebro,"Publicerad 23 juni, kl. 13.37",{'https://arbetsformedlingen.se/platsbanken/annonser/26254890'}
8,Fruktmedarbetare 60 % - Örebro (1 jobb),Lagerarbetare,FÖRETAGSVÄXTER I KNIVSTA AB - Örebro,"Publicerad 23 juni, kl. 11.55",{'https://arbetsformedlingen.se/platsbanken/annonser/26253937'}
9,Teamleader (1 jobb),"Arbetsledare, lager",Instabox - Örebro,"Publicerad 23 juni, kl. 10.48",{'https://arbetsformedlingen.se/platsbanken/annonser/26253147'}
10,Student? Kvällsjobb på lager erbjuds! (1 jobb),Lagerplanerare,Academic Work - Örebro,"Publicerad 23 juni, kl. 00.03",{'https://arbetsformedlingen.se/platsbanken/annonser/26251085'}
11,Sök höstens extrajobb som truckförare redan nu! (10 jobb),Lagerarbetare,StudentConsulting - Örebro,"Publicerad 22 juni, kl. 17.00",{'https://arbetsformedlingen.se/platsbanken/annonser/26250604'}
12,Personliga assistenter sökes till man i Örebro! (1 jobb),Personlig assistent,Humana AB - Örebro,"Publicerad 22 juni, kl. 10.34",{'https://arbetsformedlingen.se/platsbanken/annonser/26246581'}
13,Personlig assistent till kille i Hallsberg - 100% (1 jobb),Personlig assistent,Kura Omsorg - Örebro,"Publicerad 21 juni, kl. 20.21",{'https://arbetsformedlingen.se/platsbanken/annonser/26244930'}
14,Assistent till 22 årig tjej i centrala Örebro (1 jobb),Personlig assistent,Kura Omsorg - Örebro,"Publicerad 21 juni, kl. 20.04",{'https://arbetsformedlingen.se/platsbanken/annonser/26244916'}
15,Kvinnlig personlig assistent sökes till Örebro. (1 jobb),Personlig assistent,SkaraborgsAssistans - Örebro,"Publicerad 21 juni, kl. 13.40",{'https://arbetsformedlingen.se/platsbanken/annonser/26242917'}
16,Lagermedarbetare till Swedol (1 jobb),Lagerarbetare,Eterni Sweden AB - Örebro,"Publicerad 21 juni, kl. 12.32",{'https://arbetsformedlingen.se/platsbanken/annonser/26242443'}
17,Kvinna med dövblindhet söker personlig assistent (1 jobb),Personlig assistent,BRA ASSISTANS I ÖREBRO AB - Örebro,"Publicerad 21 juni, kl. 10.26",{'https://arbetsformedlingen.se/platsbanken/annonser/26241380'}
18,LAGERMEDARBETARE TILL ALLIGO/SWEDOL (30 jobb),Lagerarbetare,StudentConsulting - Örebro,"Publicerad 20 juni, kl. 17.00",{'https://arbetsformedlingen.se/platsbanken/annonser/26239015'}
19,Cyber Security Engineer (1 jobb),Datasäkerhetsansvarig,Alten Sverige AB - Örebro,"Publicerad 20 juni, kl. 15.05",{'https://arbetsformedlingen.se/platsbanken/annonser/26237884'}
